"","1","2","3","4","5","6","group","tau1","tau2","tau3"
"mean",4.48662860285732,5.03866817435599,7.12159589841285,8.9011163960978,6.12435347919465,7.9579649224108,1,0.552039571498662,1.77952049768496,1.83361144321615
"mean.1",4.48329133734367,4.97429712484819,7.15549919621745,9.31261546422841,6.23497627012777,7.89885623198117,1,0.491005787504514,2.15711626801096,1.6638799618534
"mean.2",4.47566336376902,4.90408756828736,7.30689979908728,9.2429160200746,6.28659129716309,8.32308357976048,1,0.428424204518335,1.93601622098732,2.0364922825974
"mean.3",4.48814183793177,4.89959330449861,7.12099485457581,9.30858405079095,6.31451343315124,7.96818872746538,1,0.411451466566837,2.18758919621514,1.65367529431413
"mean.4",4.51961618471636,4.76638976298059,7.12968382620805,9.60511711414644,6.32090875661375,8.1300824834918,1,0.246773578264222,2.47543328793839,1.80917372687805
"mean.5",4.49757711275078,5.03834105862031,7.25002412602965,9.68280863721098,6.29419040659193,8.17972651223728,1,0.540763945869525,2.43278451118133,1.88553610564535
"mean.6",4.46095238703483,4.86953578487389,7.12003123460786,9.32643335055319,6.2441549716345,7.97974876916506,1,0.408583397839065,2.20640211594534,1.73559379753056
"mean.7",4.50299738554178,4.97344355393052,7.22891233502924,9.16689694314599,6.30892443188121,8.13443945129657,1,0.470446168388737,1.93798460811676,1.82551501941536
"mean.8",4.51352914332581,4.91286858501348,7.42744525567143,9.11223477420686,6.51713107423968,8.20975143411499,1,0.399339441687675,1.68478951853544,1.69262035987531
"mean.9",4.4882849339518,4.86568620175338,6.97747327799444,9.3060824291302,6.26592284396144,8.2720029341051,1,0.377401267801583,2.32860915113576,2.00608009014367
"mean.10",4.47229890542592,4.93527152085346,7.24309676419419,9.42747735540302,6.28731272366621,8.05930496179715,1,0.462972615427534,2.18438059120883,1.77199223813094
"mean.11",4.47596878637749,4.90514167310362,7.18855801827732,9.31578664445581,6.27648814983802,7.82661122804378,1,0.429172886726127,2.12722862617849,1.55012307820576
"mean.12",4.48123487726509,5.03291785510635,7.17694680622564,9.32836022995522,6.19617369409178,8.2849006437913,1,0.551682977841256,2.15141342372958,2.08872694969953
"mean.13",4.49490396814736,4.81379435037826,7.13985715131297,9.55271429884279,6.29105298691155,8.15738455407551,1,0.318890382230901,2.41285714752982,1.86633156716395
"mean.14",4.49573620294502,5.06840926811025,7.23716851207433,9.13592039850445,6.24931886844127,7.86961050686194,1,0.57267306516523,1.89875188643012,1.62029163842067
"mean.15",4.47546120689966,4.9663463946541,7.1121812690596,9.10768931181368,6.29675047636514,8.17074054629692,1,0.49088518775444,1.99550804275408,1.87399006993178
"mean.16",4.50236723158508,4.83261891952339,7.22406996379253,9.44867733567303,6.19786747697357,8.14437310164807,1,0.330251687938305,2.2246073718805,1.94650562467449
"mean.17",4.48257482596109,5.01621622569361,7.30454953405974,9.16145524603704,6.34488977681484,8.06826837129032,1,0.533641399732526,1.85690571197729,1.72337859447548
"mean.18",4.46392913358752,4.99737758485334,7.30694466736409,9.05345563059611,6.33330674675167,8.33158768982731,1,0.533448451265826,1.74651096323203,1.99828094307564
"mean.19",4.48755629409465,4.89679505091283,7.20169375339771,9.13378993441805,6.23002730943687,7.81002580292288,1,0.409238756818173,1.93209618102035,1.57999849348601
"mean.20",4.49113775565919,4.84852648557599,7.20640252744885,9.56319034893505,6.19724446171944,8.34875148808036,1,0.357388729916805,2.3567878214862,2.15150702636092
"mean.21",4.48912517667839,4.93806735908202,7.30750331576506,9.23770698077674,6.38767426493256,8.11151013045063,1,0.448942182403633,1.93020366501169,1.72383586551807
"mean.22",4.50321388879703,5.00626202749455,7.16011427291002,9.00149684331207,6.26353865373096,8.09139150957665,1,0.503048138697521,1.84138257040205,1.82785285584569
"mean.23",4.4771734447187,4.83927765024804,7.08723764569493,9.19651454567583,6.21791739575116,8.44695902825349,1,0.362104205529349,2.10927689998089,2.22904163250233
"mean.24",4.48232246113444,4.79052357877264,7.22777195421773,9.63126459230526,6.23299718637899,8.2229122826564,1,0.308201117638193,2.40349263808753,1.9899150962774
"mean.25",4.46177804876991,4.91233581897324,7.146443814173,9.16949641366583,6.20317536126347,8.2084240576282,1,0.450557770203326,2.02305259949283,2.00524869636473
"mean.26",4.47833944507594,4.8803527621169,7.10714065902951,9.22181358758466,6.199410230592,8.2276531423585,1,0.402013317040957,2.11467292855515,2.0282429117665
"mean.27",4.46705331142985,4.84466622792873,7.21398012004112,9.23495410483782,6.32177159818083,8.1281456131654,1,0.377612916498882,2.0209739847967,1.80637401498458
"mean.28",4.47304897472678,4.85845894891633,7.17579979589408,9.31512317059688,6.30128935544467,8.21494917075153,1,0.385409974189542,2.1393233747028,1.91365981530686
"mean.29",4.45344466203481,5.10391123016549,7.17675221695949,9.30108468287577,6.33393872569761,8.38792119441951,1,0.650466568130677,2.12433246591628,2.0539824687219
"mean.30",4.48366643903377,5.08523920292271,7.13069060331556,9.29588223148594,6.20254256794353,8.21222846445618,1,0.60157276388894,2.16519162817038,2.00968589651265
"mean.31",4.47252638166656,4.85476519412056,7.27015751276804,9.58958414319236,6.38711767624276,8.27074291969071,1,0.382238812454,2.31942663042432,1.88362524344796
"mean.32",4.51761150877381,5.01359311683427,7.33220949143242,9.32836451128836,6.25665819408363,7.93472185199576,1,0.495981608060468,1.99615501985594,1.67806365791213
"mean.33",4.50587443160081,4.97895749494882,7.20508997006691,9.70365610393617,6.33457001610395,8.17063713797318,1,0.473083063348013,2.49856613386927,1.83606712186923
"mean.34",4.48408109479712,5.01601756617443,7.27753886652334,9.4619340414671,6.31477541978712,8.25914906882871,1,0.531936471377312,2.18439517494376,1.94437364904158
"mean.35",4.47257394675632,4.86374055253807,7.15497516030548,9.2806676064153,6.29742616709231,8.4984207499254,1,0.391166605781751,2.12569244610982,2.2009945828331
"mean.36",4.48155863707692,4.99711682360885,7.35174193186652,9.58054663350611,6.44964838607935,8.37053771142441,1,0.515558186531932,2.22880470163959,1.92088932534505
